pcode,locality,lat,long
3000,MELBOURNE,-37.814563,144.970267
3001,MELBOURNE,-38.365017,144.76592
3002,EAST MELBOURNE,-37.81664,144.987811
3003,WEST MELBOURNE,-37.806255,144.941123
3004,MELBOURNE,-37.837324,144.976335
3004,ST KILDA ROAD CENTRAL,-37.837324,144.976335
3005,WORLD TRADE CENTRE,-37.822262,144.954856
3006,SOUTH WHARF,-37.823258,144.965926
3006,SOUTHBANK,-37.823258,144.965926
3008,DOCKLANDS,-37.814719,144.948039
3010,UNIVERSITY OF MELBOURNE,-37.796152,144.961351
3011,FOOTSCRAY,-37.79977,144.899587
3011,SEDDON,-37.79977,144.899587
3011,SEDDON WEST,-37.79977,144.899587
3012,BROOKLYN,-37.814624,144.847108
3012,KINGSVILLE,-37.814624,144.847108
3012,KINGSVILLE WEST,-37.814624,144.847108
3012,MAIDSTONE,-37.814624,144.847108
3012,TOTTENHAM,-37.814624,144.847108
3012,WEST FOOTSCRAY,-37.814624,144.847108
3013,YARRAVILLE,-37.816178,144.889774
3013,YARRAVILLE WEST,-37.816178,144.889774
3015,NEWPORT,-37.842477,144.883145
3015,SOUTH KINGSVILLE,-37.842477,144.883145
3015,SPOTSWOOD,-37.842477,144.883145
3016,WILLIAMSTOWN,-37.856902,144.897698
3016,WILLIAMSTOWN NORTH,-37.856902,144.897698
3018,ALTONA,-37.869275,144.830286
3018,SEAHOLME,-37.869275,144.830286
3019,BRAYBROOK,-37.779309,144.855359
3019,BRAYBROOK NORTH,-37.779309,144.855359
3019,ROBINSON,-37.779309,144.855359
3020,ALBION,-37.775954,144.819395
3020,GLENGALA,-37.775954,144.819395
3020,SUNSHINE,-37.775954,144.819395
3020,SUNSHINE NORTH,-37.775954,144.819395
3020,SUNSHINE WEST,-37.775954,144.819395
3021,ALBANVALE,-37.745934,144.770027
3021,KEALBA,-37.745934,144.770027
3021,KINGS PARK,-37.745934,144.770027
3021,ST ALBANS,-37.745934,144.770027
3022,ARDEER,-37.78292,144.801018
3022,DEER PARK EAST,-37.78292,144.801018
3023,BURNSIDE,-37.753381,144.752618
3023,BURNSIDE HEIGHTS,-37.753381,144.752618
3023,CAIRNLEA,-37.753381,144.752618
3023,CAROLINE SPRINGS,-37.753381,144.752618
3023,DEER PARK,-37.753381,144.752618
3023,DEER PARK NORTH,-37.753381,144.752618
3023,RAVENHALL,-37.753381,144.752618
3024,MAMBOURIN,-37.899873,144.556552
3024,MOUNT COTTRELL,-37.899873,144.556552
3024,WYNDHAM VALE,-37.899873,144.556552
3025,ALTONA EAST,-37.835657,144.85995
3025,ALTONA GATE,-37.835657,144.85995
3025,ALTONA NORTH,-37.835657,144.85995
3026,LAVERTON NORTH,-37.841653,144.795959
3027,WILLIAMS LANDING,-37.859941,144.760517
3028,ALTONA MEADOWS,-37.871632,144.778084
3028,LAVERTON,-37.871632,144.778084
3028,SEABROOK,-37.871632,144.778084
3029,HOPPERS CROSSING,-37.882636,144.700297
3029,TARNEIT,-37.882636,144.700297
3029,TRUGANINA,-37.882636,144.700297
3030,COCOROC,-37.969994,144.582987
3030,DERRIMUT,-37.969994,144.582987
3030,POINT COOK,-37.969994,144.582987
3030,QUANDONG,-37.969994,144.582987
3030,WERRIBEE,-37.969994,144.582987
3030,WERRIBEE SOUTH,-37.969994,144.582987
3031,FLEMINGTON,-37.788375,144.931472
3031,KENSINGTON,-37.788375,144.931472
3032,ASCOT VALE,-37.77583,144.923377
3032,HIGHPOINT CITY,-37.77583,144.923377
3032,MARIBYRNONG,-37.77583,144.923377
3032,TRAVANCORE,-37.77583,144.923377
3033,KEILOR EAST,-37.736264,144.796336
3034,AVONDALE HEIGHTS,-37.742284,144.81515
3036,KEILOR,-37.718965,144.834166
3036,KEILOR NORTH,-37.718965,144.834166
3037,CALDER PARK,-37.715579,144.780474
3037,DELAHEY,-37.715579,144.780474
3037,HILLSIDE,-37.715579,144.780474
3037,SYDENHAM,-37.715579,144.780474
3037,TAYLORS HILL,-37.715579,144.780474
3038,KEILOR DOWNS,-37.725726,144.811346
3038,KEILOR LODGE,-37.725726,144.811346
3038,TAYLORS LAKES,-37.725726,144.811346
3038,WATERGARDENS,-37.725726,144.811346
3039,MOONEE PONDS,-37.765707,144.919163
3040,ABERFELDIE,-37.75669,144.896259
3040,ESSENDON,-37.75669,144.896259
3040,ESSENDON WEST,-37.75669,144.896259
3041,ESSENDON FIELDS,-37.744374,144.909853
3041,ESSENDON NORTH,-37.744374,144.909853
3041,STRATHMORE,-37.744374,144.909853
3041,STRATHMORE HEIGHTS,-37.744374,144.909853
3042,AIRPORT WEST,-37.711698,144.887037
3042,KEILOR PARK,-37.711698,144.887037
3042,NIDDRIE,-37.711698,144.887037
3043,GLADSTONE PARK,-37.68861,144.883628
3043,GOWANBRAE,-37.68861,144.883628
3043,TULLAMARINE,-37.68861,144.883628
3044,PASCOE VALE,-37.727568,144.939122
3044,PASCOE VALE SOUTH,-37.727568,144.939122
3045,MELBOURNE AIRPORT,-37.668873,144.833931
3046,GLENROY,-37.704581,144.915758
3046,HADFIELD,-37.704581,144.915758
3046,OAK PARK,-37.704581,144.915758
3047,BROADMEADOWS,-37.680792,144.921009
3047,DALLAS,-37.680792,144.921009
3047,JACANA,-37.680792,144.921009
3048,COOLAROO,-37.651811,144.930466
3048,MEADOW HEIGHTS,-37.651811,144.930466
3049,ATTWOOD,-37.667515,144.88529
3049,WESTMEADOWS,-37.667515,144.88529
3050,ROYAL MELBOURNE HOSPITAL,-37.798631,144.955627
3051,HOTHAM HILL,-37.905996,145.056254
3051,NORTH MELBOURNE,-37.905996,145.056254
3052,MELBOURNE UNIVERSITY,-37.796152,144.961351
3052,PARKVILLE,-37.796152,144.961351
3053,CARLTON,-37.784337,144.969747
3053,CARLTON SOUTH,-37.784337,144.969747
3054,CARLTON NORTH,-37.784337,144.969747
3054,PRINCES HILL,-37.784337,144.969747
3055,BRUNSWICK SOUTH,-37.772049,144.944635
3055,BRUNSWICK WEST,-37.772049,144.944635
3055,MOONEE VALE,-37.772049,144.944635
3055,MORELAND WEST,-37.772049,144.944635
3056,BRUNSWICK,-37.764829,144.943778
3056,BRUNSWICK LOWER,-37.764829,144.943778
3056,BRUNSWICK NORTH,-37.764829,144.943778
3057,BRUNSWICK EAST,-37.76491,144.979567
3057,LYGON STREET NORTH,-37.76491,144.979567
3057,SUMNER,-37.76491,144.979567
3058,BATMAN,-37.733524,144.962837
3058,COBURG,-37.733524,144.962837
3058,COBURG NORTH,-37.733524,144.962837
3058,MERLYNSTON,-37.733524,144.962837
3058,MORELAND,-37.733524,144.962837
3059,GREENVALE,-37.642984,144.88872
3060,FAWKNER,-37.759823,144.89571
3060,FAWKNER EAST,-37.759823,144.89571
3060,FAWKNER NORTH,-37.759823,144.89571
3061,CAMPBELLFIELD,-37.643746,144.951369
3062,SOMERTON,-37.642563,144.944259
3063,OAKLANDS JUNCTION,-37.629826,144.839244
3063,YUROKE,-37.629826,144.839244
3064,CRAIGIEBURN,-37.598975,144.941287
3064,DONNYBROOK,-37.598975,144.941287
3064,KALKALLO,-37.598975,144.941287
3064,MICKLEHAM,-37.598975,144.941287
3064,ROXBURGH PARK,-37.598975,144.941287
3065,FITZROY,-37.800917,144.979165
3066,COLLINGWOOD,-37.800366,144.984149
3066,COLLINGWOOD NORTH,-37.800366,144.984149
3067,ABBOTSFORD,-37.801781,144.998752
3068,CLIFTON HILL,-37.788118,144.992067
3068,FITZROY NORTH,-37.788118,144.992067
3070,NORTHCOTE,-37.769857,144.995276
3070,NORTHCOTE SOUTH,-37.769857,144.995276
3071,THORNBURY,-37.75504,144.998589
3072,GILBERTON,-37.742047,145.027716
3072,NORTHLAND CENTRE,-37.742047,145.027716
3072,PRESTON,-37.742047,145.027716
3072,PRESTON LOWER,-37.742047,145.027716
3072,PRESTON SOUTH,-37.742047,145.027716
3072,PRESTON WEST,-37.742047,145.027716
3072,REGENT WEST,-37.742047,145.027716
3073,KEON PARK,-37.694672,145.011907
3073,RESERVOIR,-37.694672,145.011907
3073,RESERVOIR EAST,-37.694672,145.011907
3073,RESERVOIR NORTH,-37.694672,145.011907
3073,RESERVOIR SOUTH,-37.694672,145.011907
3074,THOMASTOWN,-37.680338,145.014287
3075,LALOR,-37.665857,145.017194
3075,LALOR PLAZA,-37.665857,145.017194
3076,EPPING,-37.638363,145.009493
3076,EPPING DC,-37.638363,145.009493
3078,ALPHINGTON,-37.780767,145.03116
3078,FAIRFIELD,-37.780767,145.03116
3079,IVANHOE,-37.76964,145.041425
3079,IVANHOE EAST,-37.76964,145.041425
3079,IVANHOE NORTH,-37.76964,145.041425
3081,BELLFIELD,-37.751819,145.045449
3081,HEIDELBERG HEIGHTS,-37.751819,145.045449
3081,HEIDELBERG RGH,-37.751819,145.045449
3081,HEIDELBERG WEST,-37.751819,145.045449
3082,MILL PARK,-37.667957,145.060693
3083,BUNDOORA,-37.70132,145.071967
3083,KINGSBURY,-37.70132,145.071967
3083,LA TROBE UNIVERSITY,-37.70132,145.071967
3084,BANYULE,-37.744219,145.08793
3084,EAGLEMONT,-37.744219,145.08793
3084,HEIDELBERG,-37.744219,145.08793
3084,ROSANNA,-37.744219,145.08793
3084,VIEWBANK,-37.744219,145.08793
3085,MACLEOD,-37.726038,145.068457
3085,MACLEOD WEST,-37.726038,145.068457
3085,YALLAMBIE,-37.726038,145.068457
3086,LA TROBE UNIVERSITY,-37.721328,145.047012
3087,WATSONIA,-37.712531,145.082098
3087,WATSONIA NORTH,-37.712531,145.082098
3088,BRIAR HILL,-37.709483,145.120135
3088,GREENSBOROUGH,-37.709483,145.120135
3088,ST HELENA,-37.709483,145.120135
3089,DIAMOND CREEK,-37.642629,145.217595
3090,PLENTY,-37.671565,145.124024
3091,YARRAMBAT,-37.639769,145.132663
3093,LOWER PLENTY,-37.730758,145.088118
3094,MONTMORENCY,-37.715294,145.121583
3095,ELTHAM,-37.71383,145.148537
3095,ELTHAM NORTH,-37.71383,145.148537
3095,RESEARCH,-37.71383,145.148537
3096,WATTLE GLEN,-37.670101,145.190928
3097,BEND OF ISLANDS,-37.697232,145.284134
3097,KANGAROO GROUND,-37.697232,145.284134
3097,WATSONS CREEK,-37.697232,145.284134
3099,ARTHURS CREEK,-37.587697,145.218156
3099,COTTLES BRIDGE,-37.587697,145.218156
3099,HURSTBRIDGE,-37.587697,145.218156
3099,NUTFIELD,-37.587697,145.218156
3099,STRATHEWEN,-37.587697,145.218156
3101,COTHAM,-37.808497,145.044922
3101,KEW,-37.808497,145.044922
3102,KEW EAST,-37.796246,145.049017
3103,BALWYN,-37.809701,145.082303
3103,BALWYN EAST,-37.809701,145.082303
3104,BALWYN NORTH,-37.792835,145.071727
3104,GREYTHORN,-37.792835,145.071727
3105,BULLEEN,-37.768554,145.079543
3105,BULLEEN SOUTH,-37.768554,145.079543
3106,TEMPLESTOWE,-37.768882,145.117873
3107,TEMPLESTOWE LOWER,-37.7563,145.102997
