area,region,n,min,p25,p50,p75,max
Dandenong Catchment,"Blind Creek at Cathies Lane, Wantirna South",12,6,8,14,20,31
Dandenong Catchment,"Boggy Creek at Lathams Rd, Carrum Downs",11,4,10,12,31,96
Dandenong Catchment,"Corhanwarrabul Creek at Wellington Road, Rowville",12,8,21,39,47,140
Dandenong Catchment,"Bungalook Creek (Croydon MD) at walkway between Bungalook Rd West and East, Bayswater North",12,4,7,14,18,43
Dandenong Catchment,"Dandenong Creek at Sheffield Road, Doongalla Forest",9,4,10,19,24,67
Dandenong Catchment,"Dandenong Creek at Boronia Road, Wantirna",9,4,6,8,12,24
Dandenong Catchment,"Dandenong Creek at Stud Road, Dandenong North",9,13,25,35,40,46
Dandenong Catchment,"Dandenong Creek at Pillars Crossing, Dandenong South",9,15,24,26,36,56
Dandenong Catchment,"Elster Creek at Cochrane Street, Elwood",12,4,6,8,15,60
Dandenong Catchment,"Eumemmerring Creek at Worsley Road, Bangholme",12,8,14,18,21,40
Dandenong Catchment,"Ferny Creek upstream of confluence with Monbulk Ck, Knoxfield",12,1,4,4,7,9
Dandenong Catchment,"Hallam Main Drain at South Gippsland Highway, Hampton Park",12,9,20,24,25,40
Dandenong Catchment,"Heatherton Drain at Bear St, Mordialloc",12,4,5,7,8,15
Dandenong Catchment,"Kananook Creek at Wells Street, Frankston",12,11,19,31,39,58
Dandenong Catchment,"Monbulk Creek at a track off Karoo Road, Rowville",12,8,11,16,19,44
Dandenong Catchment,"Mordialloc Creek at Wells Road, Mordialloc",12,9,26,26,37,44
Dandenong Catchment,"National Water Sports Centre outlet, Bangholme",9,20,24,26,32,44
Maribyrnong Catchment,"Barringo Creek at Wooling Road, Macedon",8,6,7,8,10,32
Maribyrnong Catchment,"Deep Creek at Kennedys Lane, Romsey",8,1,2,3,5,6
Maribyrnong Catchment,"Deep Creek at end of Kinnear Road, Michelam",3,1,3,4,6,7
Maribyrnong Catchment,"Deep Creek at Bulla Road, Bulla",9,3,3,5,6,12
Maribyrnong Catchment,"Jacksons Creek upstream Sunbury-Riddells Rd, Sunbury",11,1,1,1,3,6
Maribyrnong Catchment,Jacksons Creek at bridge upstream Sunbury Rd,11,3,4,5,11,47
Maribyrnong Catchment,"Jacksons Creek at Organ Pipes NP, at walkway ~200 u/s Rosette Rock",11,5,6,7,16,24
Maribyrnong Catchment,"Maribyrnong River at Arundel Rd, Keilor",9,6,6,9,12,15
Maribyrnong Catchment,"Maribyrnong River at Brimbank Park Ford (upstream Taylors Creek), Keilor",9,8,9,10,11,20
Maribyrnong Catchment,"Maribyrnong River at Canning Street Ford, Avondale Heights",9,6,10,15,16,20
Maribyrnong Catchment,"Maribyrnong River at end of Newsom St. 500m d/s of Ascot Vale MD, Ascot Vale West",9,7,18,24,44,82
Maribyrnong Catchment,Riddells Creek upstream Gisbourne-Kilmore Rd,10,1,2,4,8,30
Maribyrnong Catchment,"Steele Creek at Rose Avenue, Niddrie",12,1,3,5,7,13
Maribyrnong Catchment,"Stony Creek at Bena Street, Yarraville",12,7,10,13,18,82
Maribyrnong Catchment,"Taylors Creek at walkway downstream Green Gully Road, Kealba",12,3,4,6,11,18
Werribee Catchment,"Cherry MD upstream Kororoit Creek Road, Altona North",12,2,6,8,15,27
Werribee Catchment,"Kororoit Creek at Millbank Drive, Deer Park",12,1,3,4,6,16
Werribee Catchment,"Kororoit Creek at Racecourse Road Ford, Altona",11,11,25,36,45,60
Werribee Catchment,"Laverton Creek at track off Valente St, d/s Kayes Drain, u/s weir, Altona Meadows",11,2,5,10,22,42
Werribee Catchment,Lerderderg River at O'Brien Road,8,1,1,3,4,13
Werribee Catchment,"Lerderderg River at Bacchus March Road, Bacchus Marsh",9,4,5,6,8,21
