area,region,ni_p50,ox_p50,ph_p50,ts_min,ts_p50,ts_max,latitude,longitude,area_id
Dandenong Catchment,"Blind Creek at Cathies Lane, Wantirna South",1.4,7,0.09,6,14,31,-37.876657,145.2154315,DandenongCatchment
Dandenong Catchment,"Boggy Creek at Lathams Rd, Carrum Downs",1.8,8,0.10,4,12,96,-38.0981878,145.1631294,DandenongCatchment
Dandenong Catchment,"Corhanwarrabul Creek at Wellington Road, Rowville",1.5,8,0.11,8,39,140,-37.9284271,145.2356032,DandenongCatchment
Dandenong Catchment,"Bungalook Creek (Croydon MD) at walkway between Bungalook Rd West and East, Bayswater North",2.8,5,0.14,4,14,43,-37.8242081,145.296783,DandenongCatchment
Dandenong Catchment,"Dandenong Creek at Sheffield Road, Doongalla Forest",1.6,10,0.04,4,19,67,-37.4713077,144.7851531,DandenongCatchment
Dandenong Catchment,"Dandenong Creek at Boronia Road, Wantirna",1.4,9,0.08,4,8,24,-37.8528374,145.2435448,DandenongCatchment
Dandenong Catchment,"Dandenong Creek at Stud Road, Dandenong North",1.2,8,0.08,13,35,46,-37.95231649999999,145.226803,DandenongCatchment
Dandenong Catchment,"Dandenong Creek at Pillars Crossing, Dandenong South",1.3,8,0.08,15,26,56,-38.0186341,145.2155859,DandenongCatchment
Dandenong Catchment,"Elster Creek at Cochrane Street, Elwood",2.5,11,0.14,4,8,60,-37.882195,144.983109,DandenongCatchment
Dandenong Catchment,"Eumemmerring Creek at Worsley Road, Bangholme",1.2,8,0.10,8,18,40,-38.0514316,145.1846637,DandenongCatchment
Dandenong Catchment,"Ferny Creek upstream of confluence with Monbulk Ck, Knoxfield",1.0,8,0.08,1,4,9,-37.894318,145.249268,DandenongCatchment
Dandenong Catchment,"Hallam Main Drain at South Gippsland Highway, Hampton Park",1.2,7,0.09,9,24,40,-38.0574748,145.2623673,DandenongCatchment
Dandenong Catchment,"Heatherton Drain at Bear St, Mordialloc",1.3,9,0.21,4,7,15,-38.0052611,145.0916746,DandenongCatchment
Dandenong Catchment,"Kananook Creek at Wells Street, Frankston",0.6,6,0.12,11,31,58,-38.1426537,145.1200843,DandenongCatchment
Dandenong Catchment,"Monbulk Creek at a track off Karoo Road, Rowville",1.1,9,0.08,8,16,44,-37.9055182,145.2652083,DandenongCatchment
Dandenong Catchment,"Mordialloc Creek at Wells Road, Mordialloc",1.3,7,0.15,9,26,44,-38.0109596,145.1013108,DandenongCatchment
Dandenong Catchment,"National Water Sports Centre outlet, Bangholme",1.3,9,0.09,20,26,44,-38.0373707,145.1870226,DandenongCatchment
Maribyrnong Catchment,"Barringo Creek at Wooling Road, Macedon",0.3,9,0.03,6,8,32,-37.4285055,144.6160327,MaribyrnongCatchment
Maribyrnong Catchment,"Deep Creek at Kennedys Lane, Romsey",0.6,10,0.02,1,3,6,-37.3592978,144.7440239,MaribyrnongCatchment
Maribyrnong Catchment,"Deep Creek at end of Kinnear Road, Michelam",0.6,9,0.03,1,4,7,-37.4713077,144.7851531,MaribyrnongCatchment
Maribyrnong Catchment,"Deep Creek at Bulla Road, Bulla",0.6,8,0.03,3,5,12,-37.6379528,144.8064424,MaribyrnongCatchment
Maribyrnong Catchment,"Jacksons Creek upstream Sunbury-Riddells Rd, Sunbury",0.5,8,0.03,1,1,6,-37.5794919,144.7288981,MaribyrnongCatchment
Maribyrnong Catchment,Jacksons Creek at bridge upstream Sunbury Rd,0.6,9,0.03,3,5,47,-37.4713077,144.7851531,MaribyrnongCatchment
Maribyrnong Catchment,"Jacksons Creek at Organ Pipes NP, at walkway ~200 u/s Rosette Rock",0.9,9,0.04,5,7,24,-37.4713077,144.7851531,MaribyrnongCatchment
Maribyrnong Catchment,"Maribyrnong River at Arundel Rd, Keilor",0.7,8,0.04,6,9,15,-37.70313549999999,144.8331122,MaribyrnongCatchment
Maribyrnong Catchment,"Maribyrnong River at Brimbank Park Ford (upstream Taylors Creek), Keilor",0.8,7,0.05,8,10,20,-37.7160208,144.816995,MaribyrnongCatchment
Maribyrnong Catchment,"Maribyrnong River at Canning Street Ford, Avondale Heights",0.8,7,0.06,6,15,20,-37.76421,144.862839,MaribyrnongCatchment
