id,area,region,ni_p50,ox_p50,ph_p50,ts_min,ts_p50,ts_max,latitude,longitude,area_id,score_avg,score_rank,garbage_active,water_active
1,Dandenong,"Blind Creek, Wantirna South",1.4,7,0.09,6,14,31,-37.876657,145.2154315,Dandenong,29.45861873,28,0,1
2,Dandenong,"Boggy Creek, Carrum Downs",1.8,8,0.1,4,12,96,-38.0981878,145.1631294,Dandenong,33.33281573,20,0,1
3,Dandenong,"Corhanwarrabul Creek, Rowville",1.5,8,0.11,8,39,140,-37.9284271,145.2356032,Dandenong,31.10770263,25,0,1
4,Dandenong,"Bungalook Creek, Bayswater North",2.8,5,0.14,4,14,43,-37.8242081,145.296783,Dandenong,39.37712438,13,0,1
5,Dandenong,"Dandenong Creek, Doongalla Forest",1.6,10,0.04,4,19,67,-37.4713077,144.7851531,Dandenong,25.17546893,50,0,1
6,Dandenong,"Dandenong Creek, Wantirna",1.4,9,0.08,4,8,24,-37.8528374,145.2435448,Dandenong,31.30419301,24,0,0
7,Dandenong,"Dandenong Creek, Dandenong North",1.2,8,0.08,13,35,46,-37.9523165,145.226803,Dandenong,27.25534507,41,0,1
8,Dandenong,"Dandenong Creek, Dandenong South",1.3,8,0.08,15,26,56,-38.0186341,145.2155859,Dandenong,27.68300317,37,0,1
9,Dandenong,"Elster Creek, Elwood",2.5,11,0.14,4,8,60,-37.882195,144.983109,Dandenong,51.37482194,7,0,1
10,Dandenong,"Eumemmerring Creek, Bangholme",1.2,8,0.1,8,18,40,-38.0514316,145.1846637,Dandenong,29.94480069,27,0,1
11,Dandenong,"Ferny Creek, Knoxfield",1,8,0.08,1,4,9,-37.894318,145.249268,Dandenong,27.80740499,33,0,0
12,Dandenong,"Hallam Main Drain, Hampton Park",1.2,7,0.09,9,24,40,-38.0574748,145.2623673,Dandenong,27.4422221,39,0,1
13,Dandenong,"Heatherton Drain, Mordialloc",1.3,9,0.21,4,7,15,-38.0052611,145.0916746,Dandenong,44.37051486,10,0,0
14,Dandenong,"Kananook Creek, Frankston",0.6,6,0.12,11,31,58,-38.1426537,145.1200843,Dandenong,22.04362653,66,0,1
15,Dandenong,"Monbulk Creek, Rowville",1.1,9,0.08,8,16,44,-37.9055182,145.2652083,Dandenong,27.79419747,34,0,1
16,Dandenong,"Mordialloc Creek, Mordialloc",1.3,7,0.15,9,26,44,-38.0109596,145.1013108,Dandenong,33.98464601,19,0,1
17,Dandenong,"National Water Sports Centre outlet, Bangholme",1.3,9,0.09,20,26,44,-38.0373707,145.1870226,Dandenong,30.44558781,26,0,1
18,Maribyrnong,"Barringo Creek, Macedon",0.3,9,0.03,6,8,32,-37.4285055,144.6160327,Maribyrnong,14.78175403,120,1,1
19,Maribyrnong,"Deep Creek, Romsey",0.6,10,0.02,1,3,6,-37.3592978,144.7440239,Maribyrnong,17.92309104,102,1,0
20,Maribyrnong,"Deep Creek, Michelam",0.6,9,0.03,1,4,7,-37.4713077,144.7851531,Maribyrnong,19.08578644,93,1,0
